title,author,supervisors,date,faculty,program,type,language,abstract,keywords
Dynamic testing in boys and girls regarding visuospatial working memory: Does sex really matter?,"Warmerdam, Miriam","['Vogelaar, B.', 'Resing, W.C.M.']",2019,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,en,,
Distant justice and ineffectiveness of the International Criminal Court: A role for hybrid tribunals?,"Zenati, Rabii","['Verdun, A.C.', 'Willigen, N.J.G. van']",2019,Faculty of Social & Behavioural Sciences,Political Science (MSc),Master thesis,en,,
Influencers of treatment outcomes: A randomised-controlled trial investigating mindfulnessbased,"Henßen, C.","['Krause, A.', 'Giezen, A. van']",2019,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
Het mentaliserend en reflectief vermogen van moeders in relatie tot de ontwikkeling van de theory of mind van het jonge kind,"Gabeler, Jasmijn","['Huijbregts, S.C.J.', 'Adrichem, D.S. van']",2019,Faculty of Social & Behavioural Sciences,Education and Child Studies (MSc),Master thesis,nl,,
Yay or nay? Changing lines of conflict and the Article 7 vote on democratic backsliding in Hungary,"Vries, Jelle de","['Veer, H.A.A. van der', 'Otjes, S.P.']",2019,Faculty of Social & Behavioural Sciences,Political Science (MSc),Master thesis,en,,
"Group negotiations: The effect of leadership, social motive and culture","Anastasiou, Rafaila","['Steinel, W.', 'Harinck, S.']",2019,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
The effect of supportive and demanding visualizations on the relationship stress cognitive performance,"Groot, Sade","['Ruigendijk, H.', 'Dijk, W. van', 'Marguc, J.']",2019,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
Het effect van sociale media en lichaamsbeeld op het zelfvertrouwen,"Oldenburg, Eline","['Peters, S.', 'Aar, L. van der']",2019,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,nl,,
The paradox of cooperation: A better understanding by means of strategy costs and social uncertainty,"Trip, Martine","['Molenmaker, W.E.', 'Dijk, E. van']",2019,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
Predicting intimate partner violence from borderline personality features: Is there a protective effect of perceived social support?,"Berendsen, Elke","['Krause-Utz, A.D.', 'Aktar, E.']",2019,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,en,,
Perpetuating trauma: The role of PTSD in the relationship between childhood maltreatment and intimate partner violence,"Nikakis, Niki","['Krause-Utz, A.D.']",2019,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,en,,
The influence of France within the EU policy-making: The common security and defece Policy,"Lemaire, Claire","['Pomorska, Karolina', 'Verdun, Amy']",2019,Faculty of Social & Behavioural Sciences,Political Science (MSc),Master thesis,en,,
